,OR,CI_lower,CI_upper,p_value
Intercept,0.24342539150346254,0.23546047799763034,0.25165973386501983,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Middle]",1.1903652509036142,1.164161312036691,1.2171590104466259,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Poorer]",1.096611158643659,1.073621619387262,1.1200929746069308,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Richer]",1.1429674288073033,1.1153238688887355,1.1712961407487836,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Richest]",0.9719259249698208,0.9443330170148755,1.0003250830035961,0.05
"C(is_urban, Treatment(0))[T.1]",1.16208734613061,1.1425053654300166,1.182004952360642,<0.001***
"C(caste, Treatment('General'))[T.Don't know]",0.9798396146024493,0.9047426843073478,1.0611698629862896,0.62
"C(caste, Treatment('General'))[T.OBC]",0.9815885120723549,0.9625937439672033,1.0009581020768068,0.06
"C(caste, Treatment('General'))[T.SC]",1.087268266425965,1.0634740292824347,1.1115948773799065,<0.001***
"C(caste, Treatment('General'))[T.ST]",1.1122539808822074,1.0846178669517643,1.14059426428694,<0.001***
"C(caste, Treatment('General'))[T.Unknown Caste]",0.8398480854788739,0.8091120483376981,0.8717517037740872,<0.001***
"C(religion, Treatment('Hindu'))[T.Buddhist/Neo-Buddhist]",1.5563216040134331,1.4809072369749454,1.6355764052221484,<0.001***
"C(religion, Treatment('Hindu'))[T.Christian]",1.3612028601052233,1.3214056803790186,1.4021986236862403,<0.001***
"C(religion, Treatment('Hindu'))[T.Jain]",1.0738287422089459,0.9095870191555898,1.2677271589303556,0.40
"C(religion, Treatment('Hindu'))[T.Jewish]",0.8327836702603365,0.17859878872386714,3.8831654257439925,0.82
"C(religion, Treatment('Hindu'))[T.Muslim]",1.0970248782915875,1.0731623959659384,1.121417958842521,<0.001***
"C(religion, Treatment('Hindu'))[T.Other Religion]",2.1031060191313453,1.989733914705984,2.2229378988898993,<0.001***
"C(religion, Treatment('Hindu'))[T.Sikh]",0.6831767019272426,0.6496640404355296,0.7184181007514161,<0.001***
"C(religion, Treatment('Hindu'))[T.Unknown Religion]",1.7298346085049114,1.4012428246260775,2.1354812457861074,<0.001***
"C(is_female_headed, Treatment(0))[T.1]",0.9643786254342401,0.946815737712777,0.982267294628096,<0.001***
"C(hh_head_education, Treatment('No education'))[T.Higher]",0.8894178998412293,0.8652147290129242,0.9142981204913889,<0.001***
"C(hh_head_education, Treatment('No education'))[T.Primary]",0.9817355066632351,0.9623245788138869,1.0015379698929192,0.07
"C(hh_head_education, Treatment('No education'))[T.Secondary]",0.9355255579254695,0.9193551576090989,0.9519803769936441,<0.001***
"C(hh_head_education, Treatment('No education'))[T.Unknown Education]",0.9174492322239493,0.7306448355555405,1.152014019326262,0.46
"C(region, Treatment('North'))[T.Central]",0.658482462221348,0.6400179225590471,0.6774797045048153,<0.001***
"C(region, Treatment('North'))[T.East]",0.48667599931260097,0.47274660628739207,0.5010158193773068,<0.001***
"C(region, Treatment('North'))[T.Northeast]",0.8018362112766996,0.778360383462033,0.8260200844946184,<0.001***
"C(region, Treatment('North'))[T.South]",1.332637659337234,1.3006044484168595,1.3654598315771842,<0.001***
"C(region, Treatment('North'))[T.Unknown Region]",0.4801167086596661,0.4671934557553033,0.49339743760221555,<0.001***
"C(region, Treatment('North'))[T.West]",1.5792778472650673,1.5395215074987536,1.620060847941226,<0.001***
hh_size,1.013457689046567,1.0095379860178249,1.0173926109893532,<0.001***
children_under5_count,1.0050215149021424,0.995225449182643,1.0149140039030797,0.32
