,,% Women Fetch (Disrupted),% Children Fetch (Disrupted),Number of Households
Gender Burden by Water Source,Bottled Water,0.0%,0.0%,"1,168"
Gender Burden by Water Source,Community RO Plant,0.0%,0.0%,861
Gender Burden by Water Source,Other Source,0.0%,0.0%,214
Gender Burden by Water Source,Piped Water,10.2%,0.4%,"82,856"
Gender Burden by Water Source,Protected Spring,0.0%,0.0%,752
Gender Burden by Water Source,Protected Well/Spring,0.0%,0.0%,"2,879"
Gender Burden by Water Source,Surface Water,0.0%,0.0%,661
Gender Burden by Water Source,Tanker/Cart,0.0%,0.0%,"1,484"
Gender Burden by Water Source,Tube well/Borehole,31.5%,1.7%,"23,362"
Gender Burden by Water Source,Unprotected Spring,0.0%,0.0%,503
Gender Burden by Water Source,Unprotected Well/Spring,0.0%,0.0%,"1,200"
Gender Burden by Time to Water,15-29 min,79.5%,4.1%,"5,353"
Gender Burden by Time to Water,30-59 min,75.8%,3.9%,"3,040"
Gender Burden by Time to Water,60+ min,75.4%,3.0%,998
Gender Burden by Time to Water,<15 min,80.0%,3.3%,"10,587"
Gender Burden by Time to Water,On Premises,0.0%,0.0%,"95,908"
Gender Burden by Time to Water,Unknown Time,68.5%,5.6%,54
