,OR,CI_lower,CI_upper,P>|z|
Intercept,0.13,0.12,0.13,<0.001***
"C(piped_water_flag, Treatment(0))[T.1]",3.53,3.11,4.01,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Middle]",0.98,0.94,1.01,0.20
"C(wealth_quintile, Treatment('Poorest'))[T.Poorer]",0.94,0.91,0.97,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Richer]",0.89,0.86,0.93,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Richest]",0.81,0.77,0.85,<0.001***
"C(urban, Treatment(0))[T.1]",1.08,1.02,1.16,0.02*
"C(region, Treatment('North'))[T.Central]",0.93,0.9,0.95,<0.001***
"C(region, Treatment('North'))[T.East]",0.68,0.66,0.7,<0.001***
"C(region, Treatment('North'))[T.Northeast]",1.22,1.19,1.26,<0.001***
"C(region, Treatment('North'))[T.South]",1.52,1.49,1.56,<0.001***
"C(region, Treatment('North'))[T.Unknown Region]",0.68,0.66,0.7,<0.001***
"C(region, Treatment('North'))[T.West]",1.77,1.73,1.81,<0.001***
"C(piped_water_flag, Treatment(0))[T.1]:C(wealth_quintile, Treatment('Poorest'))[T.Middle]",1.06,1.02,1.11,0.007**
"C(piped_water_flag, Treatment(0))[T.1]:C(wealth_quintile, Treatment('Poorest'))[T.Poorer]",1.09,1.05,1.14,<0.001***
"C(piped_water_flag, Treatment(0))[T.1]:C(wealth_quintile, Treatment('Poorest'))[T.Richer]",1.1,1.05,1.16,<0.001***
"C(piped_water_flag, Treatment(0))[T.1]:C(wealth_quintile, Treatment('Poorest'))[T.Richest]",0.98,0.92,1.03,0.39
"C(piped_water_flag, Treatment(0))[T.1]:C(urban, Treatment(0))[T.1]",1.04,0.94,1.15,0.45
idi_score,1.04,1.03,1.05,<0.001***
"C(piped_water_flag, Treatment(0))[T.1]:idi_score",0.9,0.88,0.92,<0.001***
"C(urban, Treatment(0))[T.1]:idi_score",1.0,0.98,1.02,0.89
hh_size,1.02,1.02,1.03,<0.001***
children_under5_count,1.01,1.0,1.02,0.04*
