,Category,n (HH),Disruption %,95% CI,RR vs Tube Well
0,All Piped (combined),309882,25.5,25.3–25.7,2.43
1,  Piped — Into Dwelling,121879,23.6,23.2–24.0,2.25
2,  Piped — Yard/Plot,97138,29.7,29.2–30.2,2.83
3,  Piped — Neighbour/Shared,10689,26.1,24.9–27.3,2.49
4,  Piped — Public Tap/Standpipe,80176,23.9,23.5–24.3,2.28
5,Tube Well/Borehole,212187,10.5,10.3–10.7,1.0
6,Protected (well + spring),20343,17.2,16.5–17.9,1.64
7,Unprotected (well + spring),12483,13.8,13.0–14.6,1.32
8,Surface Water,3030,23.3,21.1–25.5,2.22
9,Tanker/Cart,5543,24.2,22.7–25.7,2.31
10,Bottled/RO,13449,12.6,11.8–13.4,1.2
