state_name,n_districts,n_households,mean_rgi,mean_idi,mean_piped_coverage,mean_paradox_ratio,pct_crisis
Andaman & Nicobar,3,2150,17.4,72.9,93.9,,100.0
Lakshadweep,1,869,14.1,36.8,30.7,,0.0
Karnataka,30,23317,13.3,59.4,71.6,1.0,80.0
Arunachal Pradesh,20,17663,11.2,66.0,84.2,1.7,80.0
Maharashtra,36,28416,9.2,61.7,73.4,3.0,66.7
Sikkim,4,3477,8.7,65.8,83.3,,75.0
Kerala,14,11857,7.4,38.3,32.6,2.4,0.0
Meghalaya,11,7551,6.9,52.2,59.2,1.5,54.5
Gujarat,33,27602,4.7,61.5,70.6,1.8,48.5
Bihar,38,35318,3.3,22.7,13.6,1.4,0.0
Telangana,31,19148,2.1,60.6,68.4,1.9,54.8
Jammu & Kashmir,18,14055,0.9,67.7,85.3,2.9,66.7
Nagaland,11,7867,0.1,65.2,80.8,2.7,45.5
Tamil Nadu,32,26169,-0.3,68.4,85.4,4.4,56.2
Madhya Pradesh,51,38886,-0.4,50.0,49.8,1.7,19.6
Odisha,30,24318,-0.6,41.3,31.9,1.6,0.0
Manipur,9,5582,-1.6,52.6,38.8,3.5,33.3
Unknown State,107,97462,-1.6,37.3,34.0,2.1,14.0
Jharkhand,24,19363,-2.1,39.2,29.7,1.9,0.0
Dadra & NH and DD,3,2180,-2.2,61.4,65.8,1.1,33.3
Haryana,22,17379,-2.8,64.6,76.4,2.0,45.5
NCT of Delhi,11,8928,-2.8,71.3,85.0,2.5,27.3
Puducherry,4,3373,-3.4,61.1,73.9,1.2,25.0
Chhattisgarh,27,23289,-3.5,48.4,49.4,1.1,0.0
Assam,33,28083,-3.9,24.1,12.4,1.5,0.0
Himachal Pradesh,12,9475,-4.9,69.5,88.5,5.7,41.7
Tripura,8,6401,-5.7,46.2,49.1,3.5,0.0
Ladakh,2,1591,-6.5,60.4,70.5,5.7,0.0
Punjab,22,18342,-7.4,59.4,75.2,2.4,4.5
Goa,2,1849,-7.6,70.6,93.3,,0.0
Andhra Pradesh,13,7947,-8.2,63.2,70.6,3.9,7.7
West Bengal,20,17451,-9.4,44.1,40.7,1.8,0.0
Uttarakhand,13,10999,-13.3,67.4,86.4,1.6,0.0
Chandigarh,1,745,-13.4,73.3,96.7,,0.0
Mizoram,8,6413,-21.1,68.9,92.8,,0.0
